GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ES-Project-TerritoryManagement,iscteiul.ista,CSVMetricsFileReader,26,81,3,3,6,23,2,3,0,2
ES-Project-TerritoryManagement,iscteiul.ista,Graph.GraphNode,56,86,1,1,13,27,12,4,11,4
ES-Project-TerritoryManagement,iscteiul.ista,PropertyMerger,13,225,4,28,4,55,4,14,0,2
ES-Project-TerritoryManagement,iscteiul.ista,GeometryUtils,7,115,3,9,2,34,4,8,1,5
ES-Project-TerritoryManagement,iscteiul.ista,GraphVisualization,16,118,1,7,3,23,2,4,1,1
ES-Project-TerritoryManagement,iscteiul.ista,PropertyRecord,0,85,0,0,0,23,0,12,0,12
ES-Project-TerritoryManagement,iscteiul.ista,CSVFileWriter,8,142,4,6,0,17,4,2,0,1
ES-Project-TerritoryManagement,iscteiul.ista,SwapSuggestion,0,84,0,0,0,15,0,7,0,7
ES-Project-TerritoryManagement,iscteiul.ista,PropertySwapAdvisor,6,206,10,20,4,40,10,10,0,5
ES-Project-TerritoryManagement,iscteiul.ista,Graph,2,121,1,9,1,28,1,10,0,6
ES-Project-TerritoryManagement,iscteiul.ista,App,693,25,30,0,139,13,24,7,9,7
ES-Project-TerritoryManagement,iscteiul.ista,PropertyUtils,47,690,23,101,12,183,24,60,3,19
ES-Project-TerritoryManagement,iscteiul.ista,PostGISUtils,306,376,23,13,73,91,19,18,4,15
ES-Project-TerritoryManagement,iscteiul.ista,OwnerGraph,2,185,1,21,1,39,1,16,0,6
ES-Project-TerritoryManagement,iscteiul.ista,MergedPropertyGraph,0,61,0,8,0,11,0,5,0,1
ES-Project-TerritoryManagement,iscteiul.ista,ParishMetrics,0,24,0,0,0,1,0,1,0,1
ES-Project-TerritoryManagement,iscteiul.ista,ExportToGephiUtils,65,141,0,8,18,23,3,6,3,2
ES-Project-TerritoryManagement,iscteiul.ista,PropertyGraph,7,118,3,5,1,28,3,7,0,6
ES-Project-TerritoryManagement,iscteiul.ista,AppUI,723,272,98,0,180,53,65,1,16,1
ES-Project-TerritoryManagement,iscteiul.ista,CSVFileReader,63,198,4,10,9,41,4,8,0,5
